artist_name,instagram_url,instagram_handle,tiktok_url,tiktok_handle,youtube_url,youtube_channel_id,soundcloud_url,soundcloud_handle,twitter_url,twitter_handle,facebook_url,website_url
San Holo,https://www.instagram.com/sanholobeats/,sanholobeats,,,https://www.youtube.com/channel/UCIwv90GceyJdsl9-9YYYaLQ,UCIwv90GceyJdsl9-9YYYaLQ,https://soundcloud.com/sanholobeats,sanholobeats,https://twitter.com/sanholobeats,sanholobeats,https://www.facebook.com/sanholobeats,http://sanholo.com/
PayGotti,,,,,,,,,,,,
Digable Planets,https://www.instagram.com/planetsdigable/,planetsdigable,,,,,https://soundcloud.com/digable-planets-official,digable-planets-official,https://twitter.com/digableplanets,digableplanets,https://www.facebook.com/OfficialDigablePlanets,
Ardian Bujupi,,,,,,,https://soundcloud.com/ardian-bujupi/tracks,tracks,https://twitter.com/officialardianb,officialardianb,https://www.facebook.com/ArdianOfficialBujupi,http://www.ardian-bujupi.com/
Chiko,,,,,,,,,,,,
YT,,,,,,,,,,,,
kouth,https://www.instagram.com/prodkouth/,prodkouth,,,https://music.youtube.com/channel/UCTlYt5kKRXlL8OOiroUO0kw,UCTlYt5kKRXlL8OOiroUO0kw,,,https://twitter.com/prodkouth,prodkouth,,
Hevi,,,,,,,,,,,,
Serko,https://www.instagram.com/_serkito/,_serkito,,,https://www.youtube.com/channel/UCdXqfWI-WHgEWYrfoI0lzsw,UCdXqfWI-WHgEWYrfoI0lzsw,,,,,,
Deno,,,,,,,,,,,,
Sandëro,,,,,,,,,,,,
CANCUN?,https://www.instagram.com/cancunjr/,cancunjr,https://www.tiktok.com/@therealcancunjunior,therealcancunjunior,https://music.youtube.com/channel/UC0cg3xR1xYMu790sxP1K5qA,UC0cg3xR1xYMu790sxP1K5qA,,,,,,
K3bi,,,,,,,,,,,,
Tavin,,,,,,,,,,,,
Hubert.,,,,,,,,,,,,
Nucci,https://www.instagram.com/nucciovde/,nucciovde,,,,,,,,,,
AN1K8T,,,,,,,,,,,,
Diego Smith,,,,,,,,,,,,
Meekz,,,,,,,,,,,,
Ponto de Equilíbrio,,,,,,,,,,,,
Sav'o,https://www.instagram.com/jsav.cgm/,jsav.cgm,,,,,,,,,,
Imperial Atlas,,,,,,,,,,,,
Erhan Boraer,,,,,,,,,,,,
Illest Morena,,,,,,,,,,,,
Smolasty,https://www.instagram.com/smolasty/,smolasty,,,https://www.youtube.com/channel/UC8_4ZdprsI28CvLr_nbBDHw,UC8_4ZdprsI28CvLr_nbBDHw,,,,,https://www.facebook.com/870214816330391,https://www.smolasty.com/
Ethereal,,,,,,,,,,,,
itsnk,,,,,,,https://soundcloud.com/itsnk,itsnk,,,,https://www.itsnk.fyi/
DJ Qhelfin,,,,,,,,,,,,
Saba,,,,,,,,,,,,
Dev1lHawk,,,,,,,,,,,,
Lil Man J,,,,,,,,,,,,
Sicario,,,https://www.tiktok.com/@sicario.compte.of,sicario.compte.of,,,,,https://twitter.com/sicario_92i,sicario_92i,,
Ronny J,,,,,,,,,,,,
Scorey,,,,,,,,,,,,
Acid Boyz,,,,,,,,,,,,
Ghostface Playa,https://www.instagram.com/playaghostface/,playaghostface,,,https://www.youtube.com/channel/UCAt5IBMJ3xKrazUA3kWqoSg,UCAt5IBMJ3xKrazUA3kWqoSg,https://soundcloud.com/ghostfaceplaya,ghostfaceplaya,https://twitter.com/PlayaGhostface,PlayaGhostface,,
MC João,,,,,,,,,,,,
Kute,https://www.instagram.com/kutemane/,kutemane,,,https://www.youtube.com/channel/UCObVmFkkcbkvkIqvOhZKTYQ,UCObVmFkkcbkvkIqvOhZKTYQ,https://soundcloud.com/kutemane,kutemane,,,,
Danger Dan,,,,,,,,,,,,
PA69,https://www.instagram.com/pa69_offiziell/,pa69_offiziell,https://www.tiktok.com/@pa69_offiziell,pa69_offiziell,https://www.youtube.com/channel/UC67E7throTHyFeY1n8DolSg,UC67E7throTHyFeY1n8DolSg,,,,,,
Kupla,https://www.instagram.com/kuplasound/,kuplasound,,,https://music.youtube.com/channel/UCXDXGJcbXFnzsiyh9EVD7FQ,UCXDXGJcbXFnzsiyh9EVD7FQ,https://soundcloud.com/kuplasound,kuplasound,https://twitter.com/KuplaSound,KuplaSound,https://www.facebook.com/kuplasound,
Frenetik&Orang3,,,,,,,,,,,,
Paulo DK,,,,,,,,,,,,
DJ GHP,,,,,,,,,,,,
Sokół,,,,,,,,,,,,
Kojo Funds,,,,,,,,,,,,
SXSS,,,,,,,,,,,,
Pereiraremix,,,,,,,,,,,,
Medy,,,,,,,,,,,,
Tee,,,,,,,,,,,,
Virtual Flavor,,,,,,,,,,,,
PR1ISVX,,,,,,,,,,,,
Viktor Sheen,,,,,,,,,,,,
Peezy,,,,,,,,,,,,
Pilot,,,,,,,,,,,,
Preditah,,,,,,,,,,,,
Georgio,,,,,https://www.youtube.com/user/Georgioxv3,Georgioxv3,,,https://twitter.com/Georgioxv3,Georgioxv3,https://www.facebook.com/GeorgioXV3,http://www.georgioxv3.com/
JayO,,,,,,,,,,,,
MATHINVOKER,,,,,,,,,,,,
Jidenna,,,,,,,,,,,,
Flaco G,,,,,,,,,,,,
Vega,,,,,,,,,,,,
Casper,,,,,,,,,,,,
Chanell,,,,,,,,,,,,
Potter Payper,,,,,,,,,,,,
Halil İbrahim Göker,,,,,,,,,,,,
Santa Estilo,,,,,,,,,,,,
Anezzi,,,,,,,,,,,,
Rasta,,,,,,,,,,,,
Mond,,,,,,,,,,,,
Gibin,,,,,,,,,,,,
Oge,https://www.instagram.com/ogethereal/,ogethereal,https://www.tiktok.com/@ogethereal,ogethereal,,,,,https://twitter.com/OGE_Official,OGE_Official,https://www.facebook.com/ogeofficial,
shirobeats,,,,,,,,,,,,
Aspova,,,,,,,,,,,,
Marea,https://www.instagram.com/los_marea_oficial/,los_marea_oficial,,,,,,,https://twitter.com/losmareaoficial,losmareaoficial,https://www.facebook.com/losmarea,http://www.losmarea.com/
Moha k,,,,,,,,,,,,
Coby,,,,,,,,,,,,
Pedro Apoema,,,,,,,,,,,,
Sid,,,,,,,,,,,,
RIELL,,,,,,,,,,,,
Peekaboo,,,,,,,,,,,,
Rishi Rich,,,,,,,,,,,,
Fredz,,,,,,,,,,,,
Rmc Mike,,,,,,,,,,,,
Delil,,,,,,,,,,,,
CÉLINE,,,,,,,,,,,,
Kacperczyk,,,,,,,,,,,,
Contra,,,,,,,,,,,,
Phonkha,,,,,,,,,,,,
Shanice,,,,,,,,,,,,
Prof,,,,,,,,,https://twitter.com/PROFgampo,PROFgampo,https://www.facebook.com/PROFGAMPO,
Anthony Ramos,,,,,,,,,,,,
MHRAP,,,,,,,,,,,,
Sickboyrari,,,,,,,,,,,,
Djair Voz Cristalina,,,,,,,,,,,,
Yellow House,,,,,,,https://soundcloud.com/yellowhousemusic,yellowhousemusic,,,https://www.facebook.com/yellowhouseyellowhouse,
Anubiis,,,,,,,,,,,,
PJ HOUDINI,,,,,,,,,,,,
Kidda,,,,,,,,,,,,
SOMBRA PR,,,,,,,,,,,,
Tevomxntana,,,,,,,,,,,,
Lil Ru,,,,,,,,,,,,
Mula B,,,,,,,,,,,,
Foxy Brown,,,,,https://www.youtube.com/user/FoxyBrownTV,FoxyBrownTV,,,https://twitter.com/FoxyDonDiva,FoxyDonDiva,,
DJ FLG,,,,,,,,,,,,
