artist_name,soundcharts_uuid
Malmö 040,793eae34-c95c-11e8-ab3e-549f35141000
Decrat,eb3d84cc-fb18-11e8-8be4-549f35161576
prodkaz,116ca452-c1b4-4cd0-ac15-bf28bb519b2e
Jé,11e83fea-9176-cfd2-8710-a0369fe50396
BabyJake,db61c86e-67a7-11e9-8fd7-e4434b2a4898
rów babicze,3b4426fd-d24b-4a7e-8b30-9638a99c4270
DANO,7653c742-836d-11e9-9c83-e4434b16cb7a
落日飛車 Sunset Rollercoaster,7e15caa2-c1bc-11e8-b774-525400009efb
El Waili,15a0dce6-aa89-485e-a112-7a1489e9e904
Ice Prince,11e81bc7-f9e2-7824-a703-a0369fe50396
Einár,11e81bc8-070b-a05c-80fe-a0369fe50396
Da Poet,11e81bc1-5a7a-13c4-a7ef-a0369fe50396
Denon Reed,f37f5477-d248-4a68-a0b6-c594386a4f94
Calboy,e9ca2a64-c328-11e8-8c11-525400009efb
Henry Mendez,11e81bc1-34f2-3654-bbdb-a0369fe50396
Tha Trademarc,11e81bc8-e080-c2f4-b064-a0369fe50396
madk1d,94e529e0-15bb-4d76-ac59-6c816ce690f8
Jakob,11e81bd2-ec16-02f0-ad87-a0369fe50396
Snappy,a76b7b18-0564-11e9-a6c9-549f35161576
Rizzle Kicks,11e81bc2-290d-818a-a668-a0369fe50396
Zensery,f0efab2a-c436-11e8-9616-525400009efb
Tabitha,11e81bcb-3fd8-d596-bbc2-a0369fe50396
MC Solaar,11e81bbc-89fc-2722-b1ea-a0369fe50396
Trap Remix Guys,11e83fed-0d89-bcea-90db-a0369fe50396
Mateca,4eb1fb9b-b460-4d37-84ee-9cb180d2ae1e
Mateca,15f0898c-c255-11e8-81a4-525400009efb
Faruz Feet,11e83fe8-a62f-24bc-bfd5-a0369fe50396
Rob Base & DJ EZ Rock,f69195ec-a31b-11e9-96fa-e4434b16cb7a
Devon Hendryx,018323bb-cc35-47e0-b2a4-059f643f2007
Emilíana Torrini,11e81bc1-2db4-cfdc-9da3-a0369fe50396
